Code,Name,Cash Buying,Telegraphic Buying,Selling,Time,Date,Source,Crawl By,Crawled at
USD,US DOLLAR,"24,100.00","24,130.00","24,470.00",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.444145700
EUR,EURO,"25,253.51","25,508.59","26,640.08",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.537780800
GBP,POUND STERLING,"28,949.43","29,241.85","30,182.10",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.598059400
JPY,YEN,155.99,157.57,165.12,23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.652860500
AUD,AUSTRALIAN DOLLAR,"15,067.81","15,220.02","15,709.41",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.703497500
SGD,SINGAPORE DOLLAR,"17,413.21","17,589.10","18,154.67",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.749402900
THB,THAILAND BAHT,599.93,666.59,692.17,23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.807783300
CAD,CANADIAN DOLLAR,"17,167.07","17,340.47","17,898.05",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.908619100
CHF,SWISS FRANC,"26,222.98","26,487.86","27,339.56",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:14.959678800
HKD,HONGKONG DOLLAR,"3,032.38","3,063.01","3,161.50",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.024635400
CNY,YUAN RENMINBI,"3,263.47","3,296.44","3,402.95",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.087315900
DKK,DANISH KRONE,-,"3,412.16","3,543.08",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.136856600
INR,INDIAN RUPEE,-,290.76,302.41,23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.185453200
KRW,KOREAN WON,15.94,17.71,19.32,23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.232048900
KWD,KUWAITI DINAR,-,"78,444.60","81,586.51",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.281231400
MYR,MALAYSIAN RINGGIT,-,"5,094.22","5,205.69",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.326658500
NOK,NORWEGIAN KRONER,-,"2,123.15","2,213.45",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.377829100
RUB,RUSSIAN RUBLE,-,250.86,277.73,23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.423848200
SAR,SAUDI RIAL,-,"6,461.40","6,720.19",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.469800200
SEK,SWEDISH KRONA,-,"2,178.95","2,271.62",23:00,11/11/2023,Vietcombank,Menes,2023-11-24T15:39:15.535927700
USD,US DOLLAR,"24,100.00","24,130.00","24,470.00",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:18.914370500
EUR,EURO,"25,253.51","25,508.59","26,640.08",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:18.986518400
GBP,POUND STERLING,"28,949.43","29,241.85","30,182.10",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.055010600
JPY,YEN,155.99,157.57,165.12,23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.107191300
AUD,AUSTRALIAN DOLLAR,"15,067.81","15,220.02","15,709.41",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.186369700
SGD,SINGAPORE DOLLAR,"17,413.21","17,589.10","18,154.67",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.265547
THB,THAILAND BAHT,599.93,666.59,692.17,23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.343696300
CAD,CANADIAN DOLLAR,"17,167.07","17,340.47","17,898.05",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.409586600
CHF,SWISS FRANC,"26,222.98","26,487.86","27,339.56",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.461686600
HKD,HONGKONG DOLLAR,"3,032.38","3,063.01","3,161.50",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.521667400
CNY,YUAN RENMINBI,"3,263.47","3,296.44","3,402.95",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.568540200
DKK,DANISH KRONE,-,"3,412.16","3,543.08",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.614648900
INR,INDIAN RUPEE,-,290.76,302.41,23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.664853200
KRW,KOREAN WON,15.94,17.71,19.32,23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.721383200
KWD,KUWAITI DINAR,-,"78,444.60","81,586.51",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.776595700
MYR,MALAYSIAN RINGGIT,-,"5,094.22","5,205.69",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.842814600
NOK,NORWEGIAN KRONER,-,"2,123.15","2,213.45",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.931133
RUB,RUSSIAN RUBLE,-,250.86,277.73,23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:19.983507
SAR,SAUDI RIAL,-,"6,461.40","6,720.19",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:20.030814200
SEK,SWEDISH KRONA,-,"2,178.95","2,271.62",23:00,12/11/2023,Vietcombank,Menes,2023-11-24T15:39:20.089735200
USD,US DOLLAR,"24,170.00","24,200.00","24,540.00",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.413929700
EUR,EURO,"25,383.30","25,639.70","26,776.88",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.458043300
GBP,POUND STERLING,"29,056.64","29,350.14","30,293.73",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.505347500
JPY,YEN,156.06,157.63,165.2,23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.563355900
AUD,AUSTRALIAN DOLLAR,"15,111.26","15,263.89","15,754.62",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.620980600
SGD,SINGAPORE DOLLAR,"17,459.57","17,635.92","18,202.91",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.691533100
THB,THAILAND BAHT,596.16,662.41,687.82,23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.737734800
CAD,CANADIAN DOLLAR,"17,205.34","17,379.13","17,937.86",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.781801400
CHF,SWISS FRANC,"26,348.18","26,614.32","27,469.96",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.835480200
HKD,HONGKONG DOLLAR,"3,040.89","3,071.60","3,170.35",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:23.930748900
CNY,YUAN RENMINBI,"3,270.46","3,303.50","3,410.22",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.003602
DKK,DANISH KRONE,-,"3,428.82","3,560.36",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.054917800
INR,INDIAN RUPEE,-,291.69,303.37,23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.110959600
KRW,KOREAN WON,15.91,17.68,19.29,23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.164012600
KWD,KUWAITI DINAR,-,"78,696.23","81,847.83",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.211563200
MYR,MALAYSIAN RINGGIT,-,"5,123.02","5,235.10",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.275029700
NOK,NORWEGIAN KRONER,-,"2,146.91","2,238.21",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.337538700
RUB,RUSSIAN RUBLE,-,251.16,278.05,23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.386070100
SAR,SAUDI RIAL,-,"6,479.85","6,739.36",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.429740500
SEK,SWEDISH KRONA,-,"2,187.79","2,280.83",23:00,13/11/2023,Vietcombank,Menes,2023-11-24T15:39:24.477464
